DISTRICT,yr,wk,cases,OUTBREAK,prev_cases,cases_mean,active_weeks,division_lvl,lag1,lag2,roll3,prev_active,wk_sin,wk_cos
BOGRA,2026,12,0,0,0.0,0.8636363636363636,7,RAJSHAHI,0.0,1.0,1.0,0,-0.2817325568414294,-0.9594929736144975
BOGRA,2026,13,3,1,0.0,0.8636363636363636,7,RAJSHAHI,0.0,0.0,1.0,0,-0.5406408174555976,-0.8412535328311812
BOGRA,2026,14,0,0,3.0,0.8636363636363636,7,RAJSHAHI,3.0,0.0,3.0,1,-0.7557495743542582,-0.6548607339452852
BOGRA,2026,15,1,0,0.0,0.8636363636363636,7,RAJSHAHI,0.0,3.0,3.0,0,-0.909631995354518,-0.41541501300188716
BOGRA,2026,16,9,1,1.0,0.8636363636363636,7,RAJSHAHI,1.0,0.0,4.0,1,-0.9898214418809327,-0.14231483827328523
BOGRA,2026,17,3,1,9.0,0.8636363636363636,7,RAJSHAHI,9.0,1.0,10.0,1,-0.9898214418809328,0.14231483827328487
BOGRA,2026,18,0,0,3.0,0.8636363636363636,7,RAJSHAHI,3.0,9.0,13.0,1,-0.9096319953545186,0.41541501300188605
BOGRA,2026,19,0,0,0.0,0.8636363636363636,7,RAJSHAHI,0.0,3.0,12.0,0,-0.7557495743542587,0.6548607339452845
BOGRA,2026,20,0,0,0.0,0.8636363636363636,7,RAJSHAHI,0.0,0.0,3.0,0,-0.5406408174555974,0.8412535328311812
BOGRA,2026,21,1,0,0.0,0.8636363636363636,7,RAJSHAHI,0.0,0.0,0.0,0,-0.2817325568414298,0.9594929736144974
BOGRA,2026,22,0,0,1.0,0.8636363636363636,7,RAJSHAHI,1.0,0.0,1.0,1,-1.133107779529596e-15,1.0
BRAHMANBARIA,2026,1,0,0,0.0,5.681818181818182,12,CHITTAGONG,0.0,0.0,0.0,0,0.28173255684142967,0.9594929736144974
BRAHMANBARIA,2026,2,0,0,0.0,5.681818181818182,12,CHITTAGONG,0.0,0.0,0.0,0,0.5406408174555976,0.8412535328311812
