,0
upzmunc_DEWANGANJ,0.0
upzmunc_SHYAMNAGAR,0.0
upzmunc_SHIBPUR,0.0
upzmunc_CHANDANAISH,0.0
upzmunc_BURICHANG,0.0
upzmunc_BURHANUDDIN,0.0
upzmunc_BRAHMANBARIA SADAR,0.0
upzmunc_BRAHMANBARIA MUN.,0.0
upzmunc_TONGIBARI,0.0
upzmunc_THAKURGAON SADAR,0.0
upzmunc_TEROKHADA,0.0
upzmunc_TEKNAF,0.0
upzmunc_TEJGAON,0.0
upzmunc_TAZUMUDDIN,0.0
upzmunc_TARASH,0.0
upzmunc_TARAIL,0.0
upzmunc_TANORE,0.0
district_BANDARBAN,0.0
upzmunc_ZIANAGAR,0.0
upzmunc_TANGAIL SADAR,0.0
upzmunc_TALTOLY,0.0
upzmunc_TALA,0.0
upzmunc_TAHIRPUR,0.0
upzmunc_SYLHET SADAR,0.0
upzmunc_BIRGANJ,0.0
upzmunc_FULBARIA_DNJ,0.0
upzmunc_FULBARIA MUN.,0.0
upzmunc_FENI MUN.,0.0
upzmunc_FENCHUGANJ,0.0
upzmunc_FATIKCHHARI,0.0
upzmunc_FARIDPUR,0.0
upzmunc_DURGAPUR_RAJ,0.0
upzmunc_DURGAPUR_NET,0.0
district_LALMONIRHAT,0.0
upzmunc_BELABO,0.0
district_GAIBANDHA,0.0
district_COMILLA CC.,0.0
upzmunc_DHANBARI,0.0
upzmunc_BARURA,0.0
upzmunc_CHATKHIL,0.0
upzmunc_BETAGI,0.0
upzmunc_BELKUCHI,0.0
district_KHULNA CC.,0.0
upzmunc_ALIKADAM,0.0
upzmunc_ALFADANGA,0.0
upzmunc_ALAMDANGA,0.0
upzmunc_AKKELPUR,0.0
upzmunc_AKHURA,0.0
upzmunc_BEGUMGANJ,0.0
district_RANGPUR CC.,0.0
upzmunc_CHATMOHAR,0.0
upzmunc_BARKAL,0.0
upzmunc_BOGRA MUN.,0.0
upzmunc_BODA,0.0
upzmunc_BOALMARI,0.0
upzmunc_BISHWAMBARPUR,0.0
